,Source,Location ID,Latitude,Longitude,Elevation,Year,Month,Day,Hour,Minute,GHI (w/m2),Temperature (c),Relative Humidity (%),Solar Zenith Angle (Degree),Wind Direction (Degree),Wind Speed (m/s)
7123,NSRDB,405740,33.49,-107.74,2165,2015,10,24,19,30,762,16.716943359375023,40.598697662353516,46.088523996631416,109.0580825805664,3.1476571559906006
7124,NSRDB,405740,33.49,-107.74,2165,2015,10,24,20,30,688,16.792108154296898,39.64002990722656,50.66169874476129,114.13519287109375,3.0183982849121094
7125,NSRDB,405740,33.49,-107.74,2165,2015,10,24,21,30,552,16.216363525390648,40.15928649902344,58.44457461172283,119.18657684326172,2.8789334297180176
7126,NSRDB,405740,33.49,-107.74,2165,2015,10,24,22,30,366,14.913385009765648,42.681617736816406,68.32418052190488,122.67145538330078,2.7181262969970703
7127,NSRDB,405740,33.49,-107.74,2165,2015,10,24,23,30,154,12.554315185546898,49.95716094970703,79.4854684413587,124.96115112304688,2.5436959266662598
7128,NSRDB,405740,33.49,-107.74,2165,2015,10,25,0,30,0,10.158898925781273,60.17041778564453,91.40824633311996,126.4685287475586,2.4802405834198
7129,NSRDB,405740,33.49,-107.74,2165,2015,10,25,1,30,0,8.821191406250023,66.0832748413086,103.75056862362658,126.45008087158203,2.6000938415527344
7130,NSRDB,405740,33.49,-107.74,2165,2015,10,25,2,30,0,8.013635253906273,68.5213394165039,116.255046980647,127.20370483398438,2.7633838653564453
7131,NSRDB,405740,33.49,-107.74,2165,2015,10,25,3,30,0,7.299127197265648,70.69071197509766,128.65672378765726,128.05540466308594,2.8888964653015137
7132,NSRDB,405740,33.49,-107.74,2165,2015,10,25,4,30,0,6.607049560546898,72.96029663085938,140.54638394736725,129.94857788085938,2.9538893699645996
7133,NSRDB,405740,33.49,-107.74,2165,2015,10,25,5,30,0,5.905267333984398,75.64900970458984,151.01982049335362,132.61439514160156,2.953486204147339
7134,NSRDB,405740,33.49,-107.74,2165,2015,10,25,6,30,0,5.227777099609398,79.17696380615234,157.76131758441073,135.36190795898438,2.887030601501465
7135,NSRDB,405740,33.49,-107.74,2165,2015,10,25,7,30,0,4.643243408203148,83.1060562133789,157.09826303010396,136.83807373046875,2.7892355918884277
7136,NSRDB,405740,33.49,-107.74,2165,2015,10,25,8,30,0,4.224450683593773,86.30004119873047,149.51706425590095,136.35317993164062,2.6732590198516846
7137,NSRDB,405740,33.49,-107.74,2165,2015,10,25,9,30,0,3.9643188476562727,88.50047302246094,138.72034791243408,136.13861083984375,2.5589981079101562
7138,NSRDB,405740,33.49,-107.74,2165,2015,10,25,10,30,0,3.8193908691406477,89.73577117919922,126.71673389580768,135.49659729003906,2.481710433959961
7139,NSRDB,405740,33.49,-107.74,2165,2015,10,25,11,30,0,3.6909729003906477,90.58255004882812,114.2895452065703,133.1770477294922,2.4865217208862305
